movie_name,relase_date,types,areas,staff,votes
寻找罗麦,2018年4月13日(中国),剧情,中国|法国, 王超 韩庚 杰瑞米·埃尔卡伊姆,2281
狂暴巨兽,2018年4月13日(中国),动作/冒险,美国, 布拉德·佩顿 道恩·强森 娜奥米·哈里斯,2247
西北风云,2018年4月13日(中国),剧情/犯罪,中国, 黄璜 任达华 余男,1743
湮灭,2018年4月13日(中国),冒险/剧情,美国|英国, 亚力克斯·嘉兰 娜塔莉·波特曼 詹妮弗·杰森·李,1464
夺命来电,2018年4月13日(中国),灾难/恐怖,美国, 托德·威廉姆斯 约翰·库萨克 塞缪尔·杰克逊,241
毕业作品,2018年4月13日(中国),爱情/冒险,中国, 许斌 张一山 丁丁,101
凌晨两点半,2018年4月13日(中国),惊悚/悬疑,中国, 王静儿 陈美行 周庚禹,52
二师兄来了,2018年4月13日(中国),剧情/喜剧,中国, 朱丹 杜旭东 刘江,9
青春后驱动,2018年4月13日(中国),爱情,中国, 图拉古 王耀可 王尉,6
任性的硬币,2018年4月18日(中国),剧情,中国, 陈之月 黄一飞 温哲轩,1
渠首欢歌,2018年4月19日(中国),剧情,中国, 尹海峰 尚国伟 李玲,1
龙在哪里？,2018年4月20日(中国),动画,中国, 胡陞忠 戴立忍 章子怡,2909
犬之岛,2018年4月20日(中国),动画/冒险,美国|德国, 韦斯·安德森 科宇·兰金 布莱恩·科兰斯顿,638
21克拉,2018年4月20日(中国),爱情/剧情,中国, 何念 郭京飞 迪丽热巴,359
脱单告急,2018年4月20日(中国),爱情/喜剧,中国, 柯孟融 董子健 钟楚曦,178
米花之味,2018年4月20日(中国),剧情,中国, 鹏飞 英泽 ,20
黄金花,2018年4月20日(中国),剧情,中国香港, 陈大利 毛舜筠 凌文龙,19
求求你爱上我,2018年4月20日(中国),剧情,, 董春泽 姜涛 钱冬旎,3
理想之路,2018年4月20日(中国),剧情/犯罪,, 柯宙  史洪波 张乃元,1
低压槽：欲望之城,2018年4月28日(中国),爱情,中国, 张家辉 张家辉 徐静蕾,2574
后来的我们,2018年4月28日(中国),奇幻/剧情,中国, 刘若英 井柏然 周冬雨,1607
战神纪,2018年4月28日(中国),剧情,中国, 哈斯朝鲁 陈伟霆 林允,1221
幕后玩家,2018年4月28日(中国),动画/冒险,中国, 任鹏远 徐峥 王丽坤,687
玛丽与魔女之花,2018年4月28日(中国),动画/家庭,日本, 米林宏昌 杉咲花 神木隆之介,280
小公主艾薇拉与神秘王国,2018年4月28日(中国),惊悚/恐怖,中国, 罗洋  ,23
午夜十二点,2018年4月28日(中国),动画/冒险,中国, 张孝爽 倪新宇 谭佑铭,5
功夫四侠：勇闯地宫,2018年4月29日(中国),剧情/悬疑,中国, 李金保  ,45
追踪,2018年4月(中国),剧情,中国, 李霄峰 罗晋 聂远,10
明天有多远,2018年4月(中国),剧情,中国, 王劲松 池华琼 王宇,2
蝴蝶今夜降临,2018年4月(中国),动画/动作,中国, 梁美波  ,2
黑脸大包公之西夏风云,2018年5月1日(中国),动作/悬疑,中国, 李长炎 倪其涵 骆材璐,28
香港大营救,2018年5月4日(中国),动作/冒险,中国, 刘一君 成泰燊 颜丙燕,31
复仇者联盟3：无限战争,2018年5月11日(中国),传记/剧情,美国, 安东尼·罗素 小罗伯特·唐尼 克里斯·海姆斯沃斯,9906
战犬瑞克斯,2018年5月11日(中国),喜剧,美国, 加比里埃拉·考珀斯维特 凯特·玛拉 拉蒙·罗德里格兹,140
我是你妈,2018年5月11日(中国),爱情/喜剧,中国, 张骁 闫妮 邹元清,74
迷妹罗曼史,2018年5月11日(中国),剧情,中国, 秦鹏 闫妮 盛一伦,55
天梦,2018年5月11日(中国),剧情,中国, 许文琦 金巧巧 何中华,2
路过未来,2018年5月17日(中国),剧情/恐怖,中国, 李睿珺 杨子姗 尹昉,28
寂静之地,2018年5月18日(中国),奇幻/喜剧,美国, 约翰·卡拉辛斯基 艾米莉·布朗特 约翰·卡拉辛斯基,322
超时空同居,2018年5月18日(中国),动画/家庭,中国, 苏伦 雷佳音 佟丽娅,92
魔镜奇缘2,2018年5月31日(中国),动作,中国, 陈设  ,58
新乌龙院之笑闹江湖,2018年5月(中国),惊悚/喜剧,中国, 朱延平 吴孟达 郝劭文,18
午夜幽灵,2018年5月(中国),动画,中国, 李耀东 宫哲 廖娟,9
潜艇总动员：海底两万里,2018年6月1日(中国),动画,中国, 申宇  ,23
吃货宇宙,2018年6月16日(中国),喜剧/青春,中国, 陈廖宇  ,19
青春不留白,2018年6月22日(中国),动作/剧情,中国, 尹大为 宦宇 高雪儿,6
动物世界,2018年6月29日(中国),惊悚,中国, 韩延 李易峰 迈克尔·道格拉斯,456
碟仙实录,2018年6月(中国),爱情/喜剧,中国, 程中豪 李漫荻 齐炫宇,189
泡菜爱上小龙虾,2018年6月(中国),剧情,中国, 虞军豪 金基范 徐申东,42
毕业进行时,2018年6月(中国),剧情/悬疑,中国, 宋迪 吴莫愁 刘帅良,5
血十三,2018年6月(中国),喜剧,中国, 李聆聪 黄璐 谢钢,2
中国药神,2018年7月6日(中国),奇幻/剧情,中国, 文牧野 徐峥 王传君,19
查理九世,2018年7月13日(中国),爱情/剧情,中国, 王竞  ,15
初恋的滋味,2018年7月20日(中国),动作/悬疑,中国, 关尔 吴宣仪 周艺轩,2
狄仁杰之四大天王,2018年7月27日(中国),喜剧,中国, 徐克 赵又廷 冯绍峰,724
西虹市首富,2018年7月27日(中国),动画/爱情,中国, 闫非 沈腾 宋芸桦,108
肆式青春,2018年7月(中国),动作/科幻,中国|日本, 李豪凌  ,11
站住！小偷,2018年7月(中国),动画,中国, 郑云 尤勇智 梁小龙,3
巨齿鲨,2018年8月10日(中国),爱情/奇幻,美国, 乔·德特杜巴 杰森·斯坦森 李冰冰,177
昨日青空,2018年8月10日(中国),动作/犯罪,中国, 奚超  ,54
暮光·巴黎,2018年8月17日(中国),喜剧/动画,中国|法国, 万沥方 塞缪尔·默瑟 西里尔·迪雷尔,1768
沉默的证人,2018年8月(中国),动画/动作,中国, 雷尼·哈林 张家辉 杨紫,15
大闹西游,2018年8月(中国),剧情,中国, 马系海  ,6
一千零一夜之拯救黄金城,2018年8月(中国),纪录片,中国, 李克  ,4
大佬,2018年8月(中国),纪录片,中国, 仕轩宇 姜易辰 张红攀,2
大三儿,2018年8月(中国),喜剧,中国, 佟晟嘉  ,2
不如跳舞,2018年9月17日(中国),喜剧,中国, 鹿敏  ,1
李茶的姑妈,2018年9月30日(中国),剧情/喜剧,中国, 吴昱翰 黄才伦 艾伦,7
胖子行动队,2018年10月(中国),剧情,中国, 包贝尔 文章 包贝尔,8
营救汪星人,2018年(中国),喜剧/剧情,中国, 梁婷 成毅 阿拉蕾,5121
纯洁心灵·逐梦演艺圈,2018年(中国),喜剧,中国, 毕志飞 毕志飞 朱哲健,665
转型团伙,2018年(中国),动作/喜剧,中国, 吴镇宇 吴镇宇 乔杉,447
断片之险途夺宝,2018年(中国),动作/冒险,中国, 罗登 葛优 岳云鹏,432
时空行者,2018年(中国),动作/爱情,中国|中国香港, 叶伟民 甄子丹 黄圣依,204
邪不压正,2018年(中国),喜剧,中国, 姜文 姜文 彭于晏,158
欧洲攻略,2018年(中国),科幻,中国, 马楚成 梁朝伟 吴亦凡,137
财迷,2018年(中国),喜剧/动作,中国, 董董 六小龄童 马德华,121
虎影侠,2018年(中国),动作/剧情,中国|美国,  李冰冰 ,103
龙虾刑警,2018年(中国),科幻,中国, 李昕芸 王千源 袁姗姗,102
影,2018年(中国),动画/喜剧,中国, 张艺谋 邓超 孙俪,78
流浪地球,2018年(中国),动作/科幻,中国, 郭帆 屈菁菁 李光洁,55
神奇马戏团,2018年(中国),动作/悬疑,中国|英国|美国|韩国|西班牙, 托尼·班克罗夫特 艾米莉·布朗特 约翰·卡拉辛斯基,53
拓星者,2018年(中国),犯罪/剧情,中国, 张小北 宋洋 齐溪,49
大侦探霍桑,2018年(中国),动作,中国|英国, 周显扬 韩庚 张慧雯,46
风再起时,2018年(中国),动作/剧情,中国, 翁子光 梁朝伟 郭富城,38
张天志,2018年(中国),动作/惊悚,中国, 袁和平 张晋 周秀娜,29
刺局,2018年(中国),动画/动作,中国, 李仁港 冯绍峰 胡军,29
秦陵诡城之地心迷城,2018年(中国),动作/剧情,中国, 郭大雷  ,25
疯狂大变身,2018年(中国),喜剧/剧情,中国, 邢海顺 陈哲 曹旭鹏,25
黄渤未定名项目,2018年(中国),爱情/剧情,中国, 黄渤 黄渤 王宝强,20
解码游戏,2018年(中国),剧情/悬疑,中国, 李海龙 韩庚 凤小岳,17
慌枪走板,2018年(中国),动画/动作,中国, 饶晓志 陈建斌 任素汐,11
一生有你,2018年(中国),爱情/动作,中国, 卢庚戌 徐娇 谢彬彬,11
她杀,2018年(中国),动画/喜剧,中国, 曹保平 范冰冰 黄轩,10
天狼,2018年(中国),奇幻/喜剧,中国, 施佳欣  ,7
欢迎来到熊仁镇,2018年(中国),奇幻,中国, 查慕春 朱亚文 张榕容,6
超凡菊一郎,2018年(中国),动作/喜剧,中国, 赵晔  ,5
快把我哥带走,2018年(中国),剧情,中国, 郑芬芬 张子枫 彭昱畅,5
捉妖学院,2018年(中国),剧情,中国, 田梓呈 王泽宗 慈婉彤,4
猛虫过江,2018年(中国),爱情/奇幻,中国, 小沈阳 小沈阳 潘斌龙,4
送我上青云,2018年(中国),喜剧/剧情,中国, 滕丛丛 姚晨 李九霄,4
破梦游戏,2018年(中国),动作/喜剧,中国, 韩琰 陈都灵 宋威龙,4
故事贩卖机,2018年(中国),悬疑,中国, 丁小雄 曹云金 赵达,4
人间·喜剧,2018年(中国),剧情,中国, 孙周 艾伦 王智,3
忠犬大营救,2018年(中国),纪录片,中国, 张帆 刘晓晔 纪帅,3
嫌疑者说,2018年(中国),剧情,中国, 刘建华 黄维德 温碧霞,3
灵魂的救赎,2018年(中国),爱情/动作,中国, 杨真 王迅 黄小蕾,2
信仰；佛光普照,2018年(中国),剧情/战争,中国, 雒清  ,2
出走的娜拉,2018年(中国),剧情,中国, 王鹏 徐洁儿 姜尘,2
刺杀皇太子,2018年(中国),爱情/喜剧,中国, 徐仕兴 王双 张層層,1
伍兰英,2018年(中国),动作/剧情,中国,  吴婷 ,1
极南之地,2018年(中国),动画/喜剧,中国|新西兰, 孙承志 高明 李中奇,1
北海食神,2018年(中国),动作/喜剧,中国, 金文俊 高翔 李欣燃,1
追拳,2018年(中国),科幻/喜剧,中国, 朴成镇 吴昱瑶 萧传勲,1
爱在归途,2018年(中国),奇幻/喜剧,中国, 宋业明 宋禹 陈彦汝,1
萌菌总动员,2018年(中国),动画/奇幻,中国, 朱英俊  ,1
怪癖英雄,2018年(中国),动作/奇幻,中国, 王照达 张小伟 娇娇,1
疯狂的外星人,2019年2月5日(中国),动作/科幻,中国, 宁浩 黄渤 沈腾,87
神探蒲松龄之兰若仙踪,2019年2月5日(中国),古装,中国, 严嘉 成龙 阮经天,15
姜子牙,2019年(中国),爱情/科幻,中国, 高薇华  ,177
斗破苍穹,2019年(中国),动作,中国|韩国, 姜帝圭  ,155
明日战记,2019年(中国),动画,中国|中国香港, 吴炫辉 古天乐 刘青云,128
真·三国无双,2019年(中国),动画,中国, 周显扬 王凯 杨祐宁,32
上海堡垒,2019年(中国),动作/灾难,中国, 滕华涛 鹿晗 舒淇,31
凤凰,2019年(中国),剧情/动作,中国, 毛启超  ,6
哪吒之魔童降世,2019年(中国),剧情,中国, 饺子  ,5
阿狸·梦之城堡,2019年(中国),传记/犯罪,中国, 徐瀚  ,3
冰峰暴,2019年(中国),动作/惊悚,中国, 余非 役所广司 张静初,2
唐人街探案3,2020年1月25日(中国),动作/冒险,中国,   ,10
黑色假面,2020年(中国),动作/科幻,中国,   ,5
宝贝,2020年(中国),剧情/喜剧,中国, 刘杰 杨幂 郭京飞,1
挚爱枭雄,2018年4月(中国),犯罪/剧情,法国|西班牙|美国, 费尔南多·莱昂·德·阿拉诺亚 哈维尔·巴登 佩内洛普·克鲁兹,17
金蝉脱壳2,2018年5月17日(荷兰),动画/冒险,美国|中国, 史蒂芬·C·米勒 西尔维斯特·史泰龙 黄晓明,43
死侍2,2018年5月18日(美国),动作/冒险,美国, 大卫·雷奇 瑞安·雷诺兹 莫瑞娜·巴卡琳,426
游侠索罗：星球大战外传,2018年5月25日(美国),剧情/爱情,美国, 朗·霍华德 阿尔登·埃伦瑞奇 艾米莉亚·克拉克,1408
我，花样女王,2018年5月(中国),动作/犯罪,美国, 克雷格·吉勒斯佩 玛歌特·罗比 塞巴斯蒂安·斯坦,105
镰仓物语,2018年5月(中国),动画/动作,日本, 山崎贵 堺雅人 高畑充希,62
哆啦A梦：大雄的金银岛,2018年5月(中国),动作/冒险,日本, 今井一晓 水田山葵 大原惠美,26
深海越狱,2018年5月(中国),犯罪/惊悚,美国, 帕夏·帕特里基 杜夫·龙格尔 尚格·云顿,14
护垫侠,2018年5月(中国),动画,印度, R·巴尔金 阿克谢·库玛尔 拉迪卡·艾普特,8
瞒天过海：美人计,2018年6月8日(美国),犯罪/动作,美国, 加里·罗斯 桑德拉·布洛克 凯特·布兰切特,291
超人总动员2,2018年6月15日(美国),动作/冒险,美国, 布拉德·伯德 格雷格·T·尼尔森 霍利·亨特,218
侏罗纪世界2,2018年6月22日(美国),动画/喜剧,西班牙|美国, 胡安·安东尼奥·巴亚纳 克里斯·帕拉特 布莱丝·达拉斯·霍华德,3321
边境杀手2：边境战士,2018年6月(中国),歌舞/喜剧,美国|意大利, 斯蒂法诺·索利马 乔什·布洛林 本尼西奥·德尔·托罗,115
玛雅蜜蜂历险记,2018年6月(中国),动作/冒险,澳大利亚|德国, Alexs Stadermann 柯蒂·斯密特-麦菲 诺亚·泰勒,34
泄密者,2018年6月(中国),剧情/悬疑,中国香港, 邱礼涛 吴镇宇 张智霖,7
蚁人2：黄蜂女现身,2018年7月6日(美国),科幻/惊悚,英国|美国, 佩顿·里德 保罗·路德 伊万杰琳·莉莉,3242
精灵旅社3：疯狂假期,2018年7月13日(美国),动画/喜剧,美国, 格恩迪·塔塔科夫斯基 亚当·桑德勒 赛琳娜·戈麦斯,1578
妈妈咪呀2：再次出发！,2018年7月20日(美国),动作/恐怖,美国, 欧·帕克 莉莉·詹姆斯 杰瑞米·艾文,228
碟中谍6：全面瓦解,2018年7月27日(美国),动作/冒险,美国, 克里斯托夫·迈考利 汤姆·克鲁斯 丽贝卡·弗格森,3020
真相漩涡,2018年7月(中国),冒险/剧情,瑞典, Simon Kaijser 皮尔斯·布鲁斯南 盖·皮尔斯,7
暗黑之心,2018年9月14日(美国),动画/喜剧,美国, 吕寅荣 阿曼德拉·斯坦伯格 哈里斯·迪金森,20
雪怪大冒险,2018年9月28日(美国),冒险/家庭,美国, Jason Reisig 查宁·塔图姆 詹姆斯·柯登,39
毒液：致命守护者,2018年10月5日(美国),动画/冒险,美国, 鲁本·弗雷斯彻 汤姆·哈迪 米歇尔·威廉姆斯,269
憨豆特工3,2018年10月12日(美国),动作/冒险,法国|美国|英国, 大卫·科尔 罗温·艾金森 欧嘉·柯瑞兰寇,48
丛林之书,2018年10月19日(美国),奇幻/科幻,美国, 安迪·瑟金斯 本尼迪克特·康伯巴奇 克里斯蒂安·贝尔,139
绿毛怪格林奇,2018年11月9日(美国),动画/动作,美国|中国, 亚罗·切尼 本尼迪克特·康伯巴奇 ,36
神奇动物：格林德沃之罪,2018年11月16日(美国),动作/冒险,美国|英国, 大卫·耶茨 埃迪·雷德梅恩 凯瑟琳·沃特森,1046
无敌破坏王2：大闹互联网,2018年11月21日(美国),动作/冒险,美国, 里奇·摩尔 约翰·C·赖利 萨拉·丝沃曼,1614
银魂2,2018年11月(中国),家庭/奇幻,日本, 福田雄一 桥本环奈 小栗旬,9
掠食城市：致命引擎,2018年12月14日(美国),传记/犯罪,新西兰|美国, 克里斯蒂安·瑞沃斯 罗伯特·席安 海拉·西尔玛,172
蜘蛛侠：新纪元,2018年12月14日(美国),动作/科幻,美国, 鲍勃·佩尔西凯蒂 沙美克·摩尔 列维·施瑞博尔,84
阿丽塔：战斗天使,2018年12月21日(美国),科幻/灾难,美国|加拿大|阿根廷, 罗伯特·罗德里格兹 罗莎·萨拉扎尔 克里斯托弗·瓦尔兹,1920
大黄蜂,2018年12月21日(美国),动作/惊悚,美国, 塔拉维斯·奈特 海莉·斯坦菲尔德 帕梅拉·奥德隆,88
新欢乐满人间,2018年12月25日(美国),动画/动作,美国, 罗伯·马歇尔 艾米莉·布朗特 林-曼努尔·米兰达,163
爱尔兰人,2018年(美国),爱情/喜剧,美国, 马丁·斯科塞斯 罗伯特·德尼罗 阿尔·帕西诺,372
超体2,2018年(美国),动画/家庭,法国,   ,214
新哥斯拉,2018年(中国),动作/冒险,日本, 庵野秀明 石原里美 长谷川博己,190
冰海陷落,2018年(美国),动画/动作,美国|中国, Donovan Marsh 杰拉德·巴特勒 加里·奥德曼,68
忍者蝙蝠侠,2018年(日本),动画/动作,日本|美国, 水崎淳平 山寺宏一 高木涉,51
百星贺囍2018,2018年(中国),动作/冒险,中国香港, 叶念琛 刘嘉玲 任达华,12
老家伙,2018年(中国),动作/冒险,中国香港|中国, 袁和平  ,6
虫林大作战,2018年(中国),动作/科幻,法国|卢森堡, Arnaud Bouron Ryan Nicolls ,3
地狱男爵：血皇后崛起,2019年1月11日(美国),动作/冒险,美国, 尼尔·马歇尔 大卫·哈伯 伊恩·麦柯肖恩,59
乐高大电影2,2019年2月8日(美国),动作/科幻,美国|澳大利亚|丹麦, 罗伯·施拉伯  ,85
驯龙高手3,2019年3月1日(美国),动作/科幻,美国, 迪恩·德布洛斯 杰伊·巴鲁切尔 克里斯汀·韦格,374
惊奇队长,2019年3月8日(美国),动作/冒险,美国, 安娜·波顿 布丽·拉尔森 塞缪尔·杰克逊,391
哥斯拉2,2019年3月22日(美国),奇幻/剧情,美国, 迈克尔·道赫蒂 凯尔·钱德勒 米莉·博比·布朗,219
复仇者联盟4,2019年5月3日(美国),冒险/剧情,美国, 安东尼·罗素 小罗伯特·唐尼 克里斯·埃文斯,825
牌皇,2019年6月7日(美国),动画,美国,  查宁·塔图姆 丽兹·卡潘,168
